jobTitle,department,earnings,year,serviceArea,hourlyWage,status
specialized instructor,recreation,618.54,2016,community and operation services,NA,part time
specialized instructor,recreation,612.72,2016,community and operation services,NA,part time
adult sports field/gym supv,recreation,612,2016,community and operation services,NA,part time
alternative program leader,recreation,610.5,2016,community and operation services,NA,part time
youth sports official,recreation,610,2016,community and operation services,NA,part time
facility attendant,recreation,606,2016,community and operation services,NA,part time
facility attendant,recreation,602.3,2016,community and operation services,NA,part time
municipal court  referee,parking,600,2016,planning development & transportation,NA,part time
swim instructor,recreation,599.7,2016,community and operation services,NA,part time
fitness instructor,recreation,592.48,2016,community and operation services,NA,part time
lcc technical aide i,cultural services,591.4,2016,community and operation services,NA,part time
clerical aide,cultural services,584.85,2016,community and operation services,NA,part time
specialized instructor,recreation,582.79,2016,community and operation services,NA,part time
youth instructor,recreation,581.9,2016,community and operation services,NA,part time
