jobTitle,department,earnings,year,serviceArea,hourlyWage,status
lcc stage hand,cultural services,263.7,2016,community and operation services,NA,part time
equipment operator/ golf,parks,261.49,2016,community and operation services,NA,part time
skate instructor/group,recreation,260.65,2016,community and operation services,NA,part time
swim instructor,recreation,260,2016,community and operation services,NA,part time
facility custodian,cultural services,258.3,2016,community and operation services,NA,part time
skate guard,recreation,258.19,2016,community and operation services,NA,part time
skate instructor/group,recreation,256.1,2016,community and operation services,NA,part time
exhibit worker,cultural services,256,2016,community and operation services,NA,part time
lcc professional stage hand,recreation,254.8,2016,community and operation services,NA,part time
lifeguard/water safety instr.,recreation,254.61,2016,community and operation services,NA,part time
facility attendant,recreation,253.65,2016,community and operation services,NA,part time
lifeguard,recreation,251.97,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,250.9,2016,community and operation services,NA,part time
bus fueler,operation services,250.11,2016,community and operation services,NA,part time
youth instructor,recreation,249.3,2016,community and operation services,NA,part time
skate instructor/group,recreation,247,2016,community and operation services,NA,part time
clerical aide,recreation,242.64,2016,community and operation services,NA,part time
skate guard,recreation,242.37,2016,community and operation services,NA,part time
fitness instructor - sr ctr,fc moves,240,2016,planning development & transportation,NA,part time
utility worker/ parks,parks,238.5,2016,community and operation services,NA,part time
youth instructor,recreation,235.75,2016,community and operation services,NA,part time
lifeguard,recreation,234.29,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,231.4,2016,community and operation services,NA,part time
clerical aide,recreation,227.88,2016,community and operation services,NA,part time
swim instructor,recreation,225.6,2016,community and operation services,NA,part time
lcc stage hand,cultural services,223.2,2016,community and operation services,NA,part time
utility worker/ parks,parks,222.34,2016,community and operation services,NA,part time
specialized instructor,recreation,221,2016,community and operation services,NA,part time
arts / crafts instr - sr ctr,recreation,220,2016,community and operation services,NA,part time
swim instructor/private,recreation,219.12,2016,community and operation services,NA,part time
lcc stage hand,cultural services,219,2016,community and operation services,NA,part time
adult sports scorekeeper,recreation,216.75,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,216,2016,community and operation services,NA,part time
specialized instructor,recreation,214.5,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,211.9,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,209.3,2016,community and operation services,NA,part time
swim instructor,recreation,207,2016,community and operation services,NA,part time
lifeguard,recreation,201.31,2016,community and operation services,NA,part time
bartender,recreation,201,2016,community and operation services,NA,part time
lifeguard,recreation,200.27,2016,community and operation services,NA,part time
utility worker / water,ut water meters div,198.75,2016,utility services,NA,part time
lcc stage hand,cultural services,198,2016,community and operation services,NA,part time
adult sports field/gym supv,recreation,196,2016,community and operation services,NA,part time
skate instructor/group,recreation,196,2016,community and operation services,NA,part time
outdoor recreation instructor,recreation,195.7,2016,community and operation services,NA,part time
fitness instructor,recreation,191.52,2016,community and operation services,NA,part time
alternative program leader,recreation,187,2016,community and operation services,NA,part time
swim instructor/private,recreation,185.28,2016,community and operation services,NA,part time
lifeguard/water safety instr.,recreation,184.5,2016,community and operation services,NA,part time
skate instructor/group,recreation,184.3,2016,community and operation services,NA,part time
exhibit worker,cultural services,182,2016,community and operation services,NA,part time
bartender,recreation,181.9,2016,community and operation services,NA,part time
adult sports field/gym supv,recreation,180,2016,community and operation services,NA,part time
bartender,recreation,180,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,178.1,2016,community and operation services,NA,part time
youth instructor,recreation,176,2016,community and operation services,NA,part time
project manager,environmental services,175,2016,sustainability services,NA,part time
